problem_id: 67, opt_obj: 0.2162892216733326, solver_time: 0.003271818161010742, program_status: optimal
problem_id: 68, opt_obj: 0.3242372775716831, solver_time: 0.0028145313262939453, program_status: optimal
problem_id: 69, opt_obj: 0.07027184816838598, solver_time: 0.002593517303466797, program_status: optimal
problem_id: 70, opt_obj: 0.2854059600832443, solver_time: 0.003092527389526367, program_status: optimal
problem_id: 71, opt_obj: 0.4885406635517484, solver_time: 0.0031228065490722656, program_status: optimal
problem_id: 72, opt_obj: 0.1397684151575504, solver_time: 0.0027704238891601562, program_status: optimal
problem_id: 73, opt_obj: 0.35979214082226463, solver_time: 0.004794120788574219, program_status: optimal
problem_id: 74, opt_obj: 0.3017793703723328, solver_time: 0.004255771636962891, program_status: optimal
problem_id: 75, opt_obj: 0.4990253638177592, solver_time: 0.003513813018798828, program_status: optimal
problem_id: 76, opt_obj: 0.37093325357968754, solver_time: 0.003099679946899414, program_status: optimal
problem_id: 77, opt_obj: 0.07230334263854274, solver_time: 0.004079103469848633, program_status: optimal
problem_id: 78, opt_obj: 0.23852919582473076, solver_time: 0.004678249359130859, program_status: optimal
problem_id: 79, opt_obj: 0.18067023586045255, solver_time: 0.002732992172241211, program_status: optimal
problem_id: 80, opt_obj: 0.13457140730283756, solver_time: 0.0038225650787353516, program_status: optimal
problem_id: 81, opt_obj: 0.18111940482342562, solver_time: 0.003220081329345703, program_status: optimal
problem_id: 82, opt_obj: 0.051385078234170586, solver_time: 0.002836465835571289, program_status: optimal
problem_id: 83, opt_obj: 0.19008377596858284, solver_time: 0.0028166770935058594, program_status: optimal
problem_id: 84, opt_obj: 0.1272250593319768, solver_time: 0.002746105194091797, program_status: optimal
problem_id: 85, opt_obj: 0.16604122295561866, solver_time: 0.0026946067810058594, program_status: optimal
problem_id: 86, opt_obj: 0.44079889921022186, solver_time: 0.0031392574310302734, program_status: optimal
problem_id: 87, opt_obj: 0.1434062467997137, solver_time: 0.00290679931640625, program_status: optimal
problem_id: 88, opt_obj: 0.33520934740990926, solver_time: 0.0030002593994140625, program_status: optimal
problem_id: 89, opt_obj: 0.13822867181454512, solver_time: 0.004034996032714844, program_status: optimal
problem_id: 90, opt_obj: 0.029489266428868177, solver_time: 0.003092527389526367, program_status: optimal
problem_id: 91, opt_obj: 0.04935492751571929, solver_time: 0.002679109573364258, program_status: optimal
problem_id: 92, opt_obj: 0.2665961820513076, solver_time: 0.0037488937377929688, program_status: optimal
problem_id: 93, opt_obj: 0.20877138879245652, solver_time: 0.003057241439819336, program_status: optimal
problem_id: 94, opt_obj: 0.1781115897156269, solver_time: 0.00494074821472168, program_status: optimal
problem_id: 95, opt_obj: 0.2846792842930199, solver_time: 0.002985239028930664, program_status: optimal
problem_id: 96, opt_obj: 0.05507664675747037, solver_time: 0.004698753356933594, program_status: optimal
problem_id: 97, opt_obj: 0.1803017152202301, solver_time: 0.0026657581329345703, program_status: optimal
problem_id: 98, opt_obj: 0.06390046792055273, solver_time: 0.0027108192443847656, program_status: optimal
problem_id: 99, opt_obj: 0.16457807833137394, solver_time: 0.005143165588378906, program_status: optimal
